task_code,patternid_1,pattern_1,translation_1,patternid_2,pattern_2,translation_2,patternid_3,pattern_3,translation_3,patternid_4,pattern_4,translation_4,patternid_5,pattern_5,translation_5,patternid_6,pattern_6,translation_6,patternid_7,pattern_7,translation_7,patternid_8,pattern_8,translation_8,patternid_9,pattern_9,translation_9,patternid_10,pattern_10,translation_10
sentiment,23,{LEMMA:be} {SENTIMENT:pos},"A form of ""be"", closely followed by a positive-sentiment word",12,{POS:ADV} {SENTIMENT:neg},"An adverb, closely followed by a negative-sentiment word",33,{LEMMA:the} {LEMMA:be} {SENTIMENT:neg},"A form of ""the"", closely followed by a form of ""be"", and then by a negative-sentiment word",99,{LEMMA:the} {LEMMA:be} {POS:ADV},"A form of ""the"", closely followed by a form of ""be"", and then by an adverb",86,{LEMMA:not} {SENTIMENT:pos} {LEMMA:the},"A form of ""not"", closely followed by a positive-sentiment word, and then by a form of ""the""",76,{LEMMA:fit} {SENTIMENT:pos},"A form of ""fit"", closely followed by a positive-sentiment word",56,{LEMMA:would} {LEMMA:not},"A form of ""would"", closely followed by a form of ""not""",41,{LEMMA:durable},"A form of ""durable""",64,{LEMMA:too} {LEMMA:small},"A form of ""too"", closely followed by a form of ""small""",45,{LEMMA:great} {SENTIMENT:pos},"A form of ""great"", closely followed by a positive-sentiment word"
sentiment,26,"{SENTIMENT:pos, POS:ADV}",An adverb which is also bearing a positive sentiment,82,"{POS:ADV} {LEMMA:cheap, SENTIMENT:neg}","An adverb, closely followed by a form of ""cheap"" which is also bearing a negative sentiment",44,{LEMMA:small},"A form of ""small""",11,{SENTIMENT:pos},A positive-sentiment word,42,{LEMMA:be} {LEMMA:not},"A form of ""be"", closely followed by a form of ""not""",40,{POS:ADV} {LEMMA:small},"An adverb, closely followed by a form of ""small""",70,{LEMMA:comfortable} {LEMMA:and},"A form of ""comfortable"", closely followed by a form of ""and""",49,{LEMMA:be} {SENTIMENT:neg} {LEMMA:and},"A form of ""be"", closely followed by a negative-sentiment word, and then by a form of ""and""",80,{SENTIMENT:pos} {LEMMA:and} {POS:ADV},"A positive-sentiment word, closely followed by a form of ""and"", and then by an adverb",94,{TYPE:not.r} {LEMMA:at},"A type of not (adv), closely followed by a form of ""at"""
sentiment,34,"{TYPE:move.v, LEMMA:return}","A form of ""return"" which is also a type of move (v)",36,{SENTIMENT:pos} {SENTIMENT:pos} {LEMMA:and},"A positive-sentiment word, closely followed by a positive-sentiment word, and then by a form of ""and""",61,{SENTIMENT:neg} {LEMMA:not},"A negative-sentiment word, closely followed by a form of ""not""",98,{TYPE:spouse.n},A type of spouse (n),30,{SENTIMENT:neg} {POS:ADV},"A negative-sentiment word, closely followed by an adverb",6,{LEMMA:and} {SENTIMENT:pos},"A form of ""and"", closely followed by a positive-sentiment word",5,{LEMMA:great},"A form of ""great""",47,{LEMMA:be} {LEMMA:great},"A form of ""be"", closely followed by a form of ""great""",95,{SENTIMENT:neg} {LEMMA:the},"A negative-sentiment word, closely followed by a form of ""the""",17,{SENTIMENT:pos} {LEMMA:!},"A positive-sentiment word, closely followed by a form of ""!"""
sentiment,4,{SENTIMENT:neg},A negative-sentiment word,15,{SENTIMENT:pos} {LEMMA:and} {SENTIMENT:pos},"A positive-sentiment word, closely followed by a form of ""and"", and then by a positive-sentiment word",55,{LEMMA:great} {LEMMA:!},"A form of ""great"", closely followed by a form of ""!""",100,{TYPE:station.v},A type of station (v),43,{LEMMA:be} {LEMMA:small},"A form of ""be"", closely followed by a form of ""small""",8,{LEMMA:be} {SENTIMENT:neg},"A form of ""be"", closely followed by a negative-sentiment word",92,{LEMMA:be} {POS:ADV} {SENTIMENT:pos},"A form of ""be"", closely followed by an adverb, and then by a positive-sentiment word",67,{LEMMA:be} {LEMMA:way},"A form of ""be"", closely followed by a form of ""way""",89,{LEMMA:but},"A form of ""but""",29,"{SENTIMENT:neg, POS:ADV}",An adverb which is also bearing a negative sentiment
sentiment,97,{SENTIMENT:pos} {LEMMA:but},"A positive-sentiment word, closely followed by a form of ""but""",16,{LEMMA:be} {POS:ADV} {SENTIMENT:neg},"A form of ""be"", closely followed by an adverb, and then by a negative-sentiment word",75,{LEMMA:be} {POS:ADV},"A form of ""be"", closely followed by an adverb",57,{LEMMA:send} {TYPE:back.r},"A form of ""send"", closely followed by a type of back (adv)",10,{LEMMA:not} {SENTIMENT:pos},"A form of ""not"", closely followed by a positive-sentiment word",53,{POS:ADV} {SENTIMENT:pos} {SENTIMENT:pos},"An adverb, closely followed by a positive-sentiment word, and then by a positive-sentiment word",84,{LEMMA:not} {LEMMA:even},"A form of ""not"", closely followed by a form of ""even""",74,{LEMMA:love} {LEMMA:!},"A form of ""love"", closely followed by a form of ""!""",9,{TYPE:not.r},A type of not (adv),46,{TYPE:be.v} {POS:ADV} {SENTIMENT:neg},"A type of be (v), closely followed by an adverb, and then by a negative-sentiment word"
sentiment,51,{SENTIMENT:neg} {LEMMA:money},"A negative-sentiment word, closely followed by a form of ""money""",14,{LEMMA:comfortable},"A form of ""comfortable""",65,{LEMMA:way},"A form of ""way""",66,{LEMMA:be} {LEMMA:return},"A form of ""be"", closely followed by a form of ""return""",93,{LEMMA:the} {SENTIMENT:neg},"A form of ""the"", closely followed by a negative-sentiment word",81,{LEMMA:uncomfortable},"A form of ""uncomfortable""",35,{LEMMA:do} {LEMMA:not},"A form of ""do"", closely followed by a form of ""not""",27,{LEMMA:be} {LEMMA:too},"A form of ""be"", closely followed by a form of ""too""",71,{LEMMA:year},"A form of ""year""",3,{SENTIMENT:pos} {LEMMA:and},"A positive-sentiment word, closely followed by a form of ""and"""
sentiment,20,"{LEMMA:cheap, SENTIMENT:neg}","A form of ""cheap"" which is also bearing a negative sentiment",91,{POS:ADV} {POS:ADV},"An adverb, closely followed by an adverb",77,{SENTIMENT:pos} {SENTIMENT:pos} {SENTIMENT:pos},"A positive-sentiment word, closely followed by a positive-sentiment word, and then by a positive-sentiment word",21,"{LEMMA:well, POS:ADV}","A form of ""well"" which is also an adverb",39,{LEMMA:do} {TYPE:not.r},"A form of ""do"", closely followed by a type of not (adv)",73,{POS:ADV} {LEMMA:the},"An adverb, closely followed by a form of ""the""",28,{TYPE:be.v} {SENTIMENT:neg},"A type of be (v), closely followed by a negative-sentiment word",18,{LEMMA:love},"A form of ""love""",38,{SENTIMENT:neg} {SENTIMENT:neg},"A negative-sentiment word, closely followed by a negative-sentiment word",96,{LEMMA:be} {SENTIMENT:pos} {SENTIMENT:pos},"A form of ""be"", closely followed by a positive-sentiment word, and then by a positive-sentiment word"
sentiment,13,{LEMMA:send},"A form of ""send""",32,{LEMMA:good},"A form of ""good""",1,{LEMMA:return},"A form of ""return""",2,{LEMMA:not},"A form of ""not""",90,{LEMMA:be} {SENTIMENT:pos} {LEMMA:and} {SENTIMENT:pos},"A form of ""be"", closely followed by a positive-sentiment word, and then by a form of ""and"", and then by a positive-sentiment word",68,{SENTIMENT:pos} {TYPE:measure.n},"A positive-sentiment word, closely followed by a type of measure (n)",78,{SENTIMENT:neg} {LEMMA:and} {POS:ADV},"A negative-sentiment word, closely followed by a form of ""and"", and then by an adverb",83,{POS:ADV} {LEMMA:return},"An adverb, closely followed by a form of ""return""",62,{SENTIMENT:pos} {LEMMA:for},"A positive-sentiment word, closely followed by a form of ""for""",63,{TYPE:move.v} {LEMMA:back},"A type of move (v), closely followed by a form of ""back"""
sentiment,58,{LEMMA:and} {LEMMA:great},"A form of ""and"", closely followed by a form of ""great""",72,"{LEMMA:be} {LEMMA:cheap, SENTIMENT:neg}","A form of ""be"", closely followed by a form of ""cheap"" which is also bearing a negative sentiment",25,{LEMMA:disappointed},"A form of ""disappointed""",48,{LEMMA:not} {POS:ADV},"A form of ""not"", closely followed by an adverb",22,"{LEMMA:perfect, SENTIMENT:pos}","A form of ""perfect"" which is also bearing a positive sentiment",50,{LEMMA:not} {LEMMA:the},"A form of ""not"", closely followed by a form of ""the""",60,{LEMMA:way} {LEMMA:too},"A form of ""way"", closely followed by a form of ""too""",59,{LEMMA:not} {LEMMA:fit},"A form of ""not"", closely followed by a form of ""fit""",37,{SENTIMENT:neg} {LEMMA:and},"A negative-sentiment word, closely followed by a form of ""and""",24,{LEMMA:be} {SENTIMENT:pos} {LEMMA:and},"A form of ""be"", closely followed by a positive-sentiment word, and then by a form of ""and"""
sentiment,19,{TYPE:return.v},A type of return (v),52,{LEMMA:not} {LEMMA:recommend},"A form of ""not"", closely followed by a form of ""recommend""",87,{SENTIMENT:pos} {LEMMA:great},"A positive-sentiment word, closely followed by a form of ""great""",31,{LEMMA:at} {TYPE:wholly.r},"A form of ""at"", closely followed by a type of wholly (adv)",7,{SENTIMENT:pos} {SENTIMENT:pos},"A positive-sentiment word, closely followed by a positive-sentiment word",85,"{SENTIMENT:pos, POS:ADV} {LEMMA:and}","An adverb which is also bearing a positive sentiment, closely followed by a form of ""and""",69,{LEMMA:be} {POS:ADV} {LEMMA:comfortable},"A form of ""be"", closely followed by an adverb, and then by a form of ""comfortable""",88,{TYPE:move.v},A type of move (v),79,{TYPE:love.v},A type of love (v),54,{POS:ADV} {SENTIMENT:pos},"An adverb, closely followed by a positive-sentiment word"
