task_code,patternid_1,group_1,patternid_2,group_2,patternid_3,group_3,patternid_4,group_4,patternid_5,group_5,patternid_6,group_6,patternid_7,group_7,patternid_8,group_8,patternid_9,group_9,patternid_10,group_10
sentiment,23,are nice; are comfortable; are satisfied; be fine; are stylish,12,n't regret; not pinch; very disappointed; Very awkward; totally bashed,33,The are cheaply; The was horrible; the are hard; the was uncomfortable; the is itchy,99,The are still; The is not; the is really; The are modestly,86,n't right The; not warm The; not pleased The; not love the; not worth the,76,fit fine; fit comfortable; fits like; fits comfortably; fit perfect,56,would n't; WOULD NOT; would not; would NOT,41,durable,64,too small,45,Great good; great great; Great work; great work; great support
sentiment,26,enough; fast; well,82,still cheap; just cheap; so cheap; Very cheap; even cheap,44,small,11,like; Love; Great; pleased,42,is n't; are not; 's not,40,too small; not small; way small; so small; VERY small,70,comfortable and,49,was scratchy and; be fuzzy and; is bent and; is cheap and,80,Great and well; shiny and well; great and well; adorable and not; warm and yet,94,not at; Not at
sentiment,34,returned; Returned,36,elegant shine and; support good and; perfect Great and; great comfortable and; fairly well and,61,bent n't; cheap not; tarnished not; skinny n't; broken n't,98,wife; partner; husband,30,suck in; worried how; issues finally; hassle online; miss almost,6,and nicely; AND LOVES; and comfortable; and best; and perfect,5,great; Great,47,are greatest; was great; is great; are great,95,disintegrated The; gripe the; disappointed the; Ripped the; uncomfortable the,17,love !; recommended !; awesome !; worked !; Excellent !
sentiment,4,dark; cheap; problem; weak,15,stimulating and helping; work and great; well and cool; great and durable; strong and beautiful,55,great !; Great !; GREAT !; greatest !,100,sent; send,43,is smaller; are small; 's small,8,was sad; was worst; are poor; be hard; Was uncomfortably,92,is most comfortable; is SO like; are not consistent; be very well; is not cute,67,were way; was way; are way,89,but; But,29,ridiculously; excessively; Sadly; unfortunately; sadly
sentiment,97,good but; nice but; well but; love but; strong but,16,be absolutely horrible; was pretty rigid; is extremely hard; was very disappointed; 're super skinny,75,being just; is too; were so; was about; are not,57,sent back; sending back,10,not worth; not attractive; Not pleased; not recommend; Not attractive,53,really warm enough; n't super like; really nice like; However work effectively; very fast well,84,not even; n't even,74,loves !; love !; Love !,9,not,46,were just sloppy; am very unsure; were NOT sweaty; is almost impossible; are cheaply break
sentiment,51,waste money,14,comfortable,65,way; WAY,66,'m returning; was return; am returning; am return,93,the cheap; the wrong; the thicker; The lost; the bad,81,uncomfortable,35,does not; do n't; do not; does n't,27,BE TOO; am too; was too; be too; 's too,71,years,3,bright and; neat and; good and; stylish and
sentiment,20,Cheap; cheap,91,well really; way off; shortly already; pretty well; However just,77,works like charm; nice luster smooth; fashionable comfortable durable; amazingly comfortable well; love recommend elegant,21,well,39,did not; do not,73,fast The; badly the; so the; n't the; very the,28,been problem; is loose; was cheap; is misleading; is harsh,18,loves; loved; Love; love,38,disappointed uncomfortable; cheesy broke; cruel joke; bust weak; disappointed worn,96,are soft comfy; 's comfortable wonderful; 's tough durable; was happy right; are inexpensive enough
sentiment,13,sent; send,32,best; good; Good,1,return; returns,2,n't; not,90,are comfortable and durable; is pretty and great; was responsive and helpful; are super and loved; is nice and comfortable,68,like nothing; Great Value; great time; Super chunk; Works time,78,saggy and not; cheap and extremely; worn and there; poorly and very; damaged and then,83,immediately returned; underneath returned; very returned; so returned; not returning,62,enough for; well for; good for; worth for,63,Mailed back; send back; sent back; sending back
sentiment,58,and great,72,is cheap,25,Disappointed; disappointed,48,not too; not very; not enough; not so; n't even,22,perfect,50,not the; NOT the; n't the,60,WAY too; way too,59,not fit; n't fit,37,oddly and; badly and; expensive and; damaged and; disappointed and,24,are comfortable and; is bright and; were comfortable and; are incredibly and; are handsome and
sentiment,19,return; returned,52,not recommend,87,recommend Great; love great; cute great; great great,31,at all,7,rich versatile; great comfortable; cheaper easier; perfect comfort; cheaper thinner,85,well and; nicely and; super and,69,be just comfortable; are so comfortable; is really comfortable; are definitely comfortable; 's that comfortable,88,carry; riding; rolls; slip; sent,79,loved; LOVES; love,54,very strong; absolutely wonderful; much nicer; extremely soft; really like
sentiment,1,return; returns; returning,60,way too; Way too,18,loves; love; Love,50,n't the; Not the; not the,26,enough; sincerely; fairly; well,52,not recommend; n't recommend,12,definitely disappointed; just doubt; so cheap; not cheaply; very hard,93,the Cons; the alarm; the worst; the twisted; the lack,62,enough for; Perfect for; nice for; good for; Great for,36,comfort ease and; amazing bargain and; super cute and; pretty well and; awesomely comfortable and
sentiment,86,n't impressed the; n't work the; not properly the; not great the; not worth the,58,and great,23,is good; were positive; am satisfied; was pleasantly; been happy,45,Great fast; Great good; great like; great easy; great Love,10,not comfortable; n't like; not like; n't worth; n't super,75,is not; is how; was straight; were too; are very,99,the is very; the are not; the are really; The was off,81,uncomfortable,87,right great; great great; Nice great; available great; worked great,28,was scratchy; is hard; was disappointed; be worn; is harsh
sentiment,39,did not; do not; Did not,34,returning; returned; Returned; return,2,n't; not,9,not,92,is not easy; is not soft; are very loyal; are quite delicate; is really good,71,year; years,46,was obviously twisted; is so hard; were NOT sweaty; are generally thicker; is too stiff,59,not fit; n't fit; nt fit,37,problems and; dull and; broke and; inaccuracies and; Insanity and,14,comfortable
sentiment,84,not even; n't even,79,love; Love,57,sending back; sent back; send back,24,are durable and; are Soft and; is nice and; was soft and; 're well and,25,disappointed,11,enough; lovely; loved; top; like,32,best; good,82,also cheap; really cheap; Super cheap; very cheap,90,are well and great; be supple and great; are comfortable and adjustable; is supportive and comfortable; was fast and accurate,4,damage; indiscreet; wrong; lack; hang
