,eidx,aidx,pattern,phrase,TQBAFc_level,TQBAFc_base_score,TQBAFc_class,TQBAFc_strength,TQBAFc'_base_score,TQBAFc'_class,TQBAFc'_strength,BQBAFc_level,BQBAFc_base_score,BQBAFc_class,BQBAFc_strength,BQBAFc'_base_score,BQBAFc'_class,BQBAFc'_strength
45,3,4,[['SENTIMENT:neg']],stiff,1,0.33599987985033963,Negative,0.24820512358115143,0.33599987985033963,Negative,0.24820512358115143,2,0.33599987985033963,Negative,0.33599987985033963,0.33599987985033963,Negative,0.33599987985033963
46,3,6,"[['LEMMA:and'], ['SENTIMENT:pos']]",and LOVES,2,0.414556236620918,Positive,0.414556236620918,0.414556236620918,Positive,0.414556236620918,1,0.414556236620918,Positive,0.5188613346653949,0.414556236620918,Positive,0.5188613346653949
47,3,7,"[['SENTIMENT:pos'], ['SENTIMENT:pos']]",love well,2,0.11881763471109229,Positive,0.11881763471109229,0.11881763471109229,Positive,0.11881763471109229,1,0.11881763471109229,Positive,0.22312273275556918,0.11881763471109229,Positive,0.22312273275556918
48,3,8,"[['LEMMA:be'], ['SENTIMENT:neg']]",are stiff,2,0.221947848969945,Negative,0.221947848969945,0.221947848969945,Negative,0.221947848969945,1,0.221947848969945,Negative,0.38994778889511483,0.221947848969945,Negative,0.38994778889511483
49,3,11,[['SENTIMENT:pos']],LOVES,1,0.8344407843558151,Positive,5.404390120506169,0.8344407843558151,Positive,5.404390120506169,3,0.8344407843558151,Positive,0.8344407843558151,0.8344407843558151,Positive,0.8344407843558151
50,3,14,[['LEMMA:comfortable']],comfortable,2,0.6962319460127344,Positive,0.6962319460127344,0.6962319460127344,Positive,0.6962319460127344,1,0.6962319460127344,Positive,0.8005370440572113,0.6962319460127344,Positive,0.8005370440572113
51,3,17,"[['SENTIMENT:pos'], ['LEMMA:!']]",LOVES !,2,0.858629217487571,Positive,0.9329774053876292,0.858629217487571,Positive,0.9329774053876292,2,0.858629217487571,Positive,0.9629343155320479,0.858629217487571,Positive,0.9629343155320479
52,3,18,[['LEMMA:love']],LOVES,2,0.6283603554889348,Positive,0.7027085433889929,0.6283603554889348,Positive,0.7027085433889929,2,0.6283603554889348,Positive,0.7326654535334116,0.6283603554889348,Positive,0.7326654535334116
53,3,21,"[['LEMMA:well', 'SPACY:POS-ADV']]",well,3,0.6830152167708315,Positive,0.6830152167708315,0.6830152167708315,Positive,0.6830152167708315,1,0.6830152167708315,Positive,1.1311361442703585,0.6830152167708315,Positive,1.1311361442703585
54,3,23,"[['LEMMA:be'], ['SENTIMENT:pos']]",'re comfortable,2,0.10900968974043718,Positive,0.10900968974043718,0.10900968974043718,Positive,0.10900968974043718,1,0.10900968974043718,Positive,0.21331478778491408,0.10900968974043718,Positive,0.21331478778491408
55,3,26,"[['SENTIMENT:pos', 'SPACY:POS-ADV']]",well,2,0.3438158294550501,Positive,1.0268310462258816,0.3438158294550501,Positive,1.0268310462258816,2,0.3438158294550501,Positive,0.44812092749952703,0.3438158294550501,Positive,0.44812092749952703
56,3,54,"[['SPACY:POS-ADV'], ['SENTIMENT:pos']]",now comfortable,2,0.5688168340626688,Positive,0.5688168340626688,0.5688168340626688,Positive,0.5688168340626688,1,0.5688168340626688,Positive,0.6731219321071457,0.5688168340626688,Positive,0.6731219321071457
57,3,74,"[['LEMMA:love'], ['LEMMA:!']]",LOVES !,3,0.14869637580011627,Positive,0.14869637580011627,0.14869637580011627,Positive,0.14869637580011627,1,0.14869637580011627,Positive,1.8442961448655757,0.14869637580011627,Positive,1.8442961448655757
58,3,89,[['LEMMA:but']],but,1,0.1235078268291778,Positive,0.1235078268291778,0.1235078268291778,Positive,0.1235078268291778,1,0.1235078268291778,Positive,0.1235078268291778,0.1235078268291778,Positive,0.1235078268291778
59,3,91,"[['SPACY:POS-ADV'], ['SPACY:POS-ADV']]",as well,1,0.5048165142121577,Negative,0.5048165142121577,0.5048165142121577,Negative,0.5048165142121577,1,0.5048165142121577,Negative,0.5048165142121577,0.5048165142121577,Negative,0.5048165142121577
60,3,95,"[['SENTIMENT:neg'], ['LEMMA:the']]",hurt the,2,0.3097426052391332,Positive,0.3097426052391332,0.3097426052391332,Positive,0.3097426052391332,1,0.3097426052391332,Positive,0.1417426653139634,0.3097426052391332,Positive,0.1417426653139634
225,15,2,[['LEMMA:not']],not,1,0.3157930414372283,Negative,1.356061935981612,0.3157930414372283,Negative,1.356061935981612,3,0.3157930414372283,Negative,0.3157930414372283,0.3157930414372283,Negative,0.3157930414372283
226,15,3,"[['SENTIMENT:pos'], ['LEMMA:and']]",comfortable and,2,0.39357131772745946,Positive,0.5210377888825148,0.39357131772745946,Positive,0.5210377888825148,2,0.39357131772745946,Positive,0.532644781786762,0.39357131772745946,Positive,0.532644781786762
227,15,4,[['SENTIMENT:neg']],difficulty,1,0.33599987985033963,Negative,0.026257274611206416,0.33599987985033963,Negative,0.026257274611206416,2,0.33599987985033963,Negative,0.33599987985033963,0.33599987985033963,Negative,0.33599987985033963
228,15,9,[['HYPERNYM:not.r.01']],not,2,0.21949070773035015,Negative,0.9088310838532148,0.21949070773035015,Negative,0.9088310838532148,2,0.21949070773035015,Negative,0.37738722844896433,0.21949070773035015,Negative,0.37738722844896433
229,15,11,[['SENTIMENT:pos']],comfortable,1,0.8344407843558151,Positive,4.77603914654929,0.8344407843558151,Positive,4.77603914654929,3,0.8344407843558151,Positive,0.8344407843558151,0.8344407843558151,Positive,0.8344407843558151
230,15,14,[['LEMMA:comfortable']],comfortable,2,0.6962319460127344,Positive,0.6243077775131244,0.6962319460127344,Positive,0.6243077775131244,2,0.6962319460127344,Positive,0.835305410072037,0.6962319460127344,Positive,0.835305410072037
231,15,18,[['LEMMA:love']],loved,2,0.6283603554889348,Positive,0.8922045861141835,0.6283603554889348,Positive,0.8922045861141835,2,0.6283603554889348,Positive,0.7674338195482373,0.6283603554889348,Positive,0.7674338195482373
232,15,21,"[['LEMMA:well', 'SPACY:POS-ADV']]",well,3,0.6830152167708315,Positive,0.6830152167708315,0.6830152167708315,Positive,0.6830152167708315,1,0.6830152167708315,Positive,1.1659045102851842,0.6830152167708315,Positive,1.1659045102851842
233,15,23,"[['LEMMA:be'], ['SENTIMENT:pos']]",were comfortable,2,0.10900968974043718,Positive,0.30840032939510253,0.10900968974043718,Positive,0.30840032939510253,2,0.10900968974043718,Positive,0.2480831537997397,0.10900968974043718,Positive,0.2480831537997397
234,15,24,"[['LEMMA:be'], ['SENTIMENT:pos'], ['LEMMA:and']]",were comfortable and,3,0.39878127930933077,Positive,0.39878127930933077,0.39878127930933077,Positive,0.39878127930933077,1,0.39878127930933077,Positive,0.9131868240024514,0.39878127930933077,Positive,0.9131868240024514
235,15,26,"[['SENTIMENT:pos', 'SPACY:POS-ADV']]",well,2,0.3438158294550501,Positive,1.0268310462258816,0.3438158294550501,Positive,1.0268310462258816,2,0.3438158294550501,Positive,0.4828892935143526,0.3438158294550501,Positive,0.4828892935143526
236,15,35,"[['LEMMA:do'], ['LEMMA:not']]",did not,2,0.054663971259084176,Positive,-0.13143781069116892,-0.054663971259084176,Negative,0.13143781069116892,2,0.054663971259084176,Positive,-0.10323254945952998,-0.054663971259084176,Negative,0.10323254945952998
237,15,39,"[['LEMMA:do'], ['HYPERNYM:not.r.01']]",did not,3,0.3722035639005062,Negative,0.3722035639005062,0.3722035639005062,Negative,0.3722035639005062,1,0.3722035639005062,Negative,0.6641297275845183,0.3722035639005062,Negative,0.6641297275845184
238,15,54,"[['SPACY:POS-ADV'], ['SENTIMENT:pos']]",really liked,2,0.5688168340626688,Positive,0.5688168340626688,0.5688168340626688,Positive,0.5688168340626688,1,0.5688168340626688,Positive,0.7078902981219714,0.5688168340626688,Positive,0.7078902981219714
239,15,70,"[['LEMMA:comfortable'], ['LEMMA:and']]",comfortable and,3,0.14384833699922006,Negative,0.14384833699922006,0.14384833699922006,Negative,0.14384833699922006,1,0.14384833699922006,Negative,-0.9577794639661978,-0.14384833699922006,Positive,0.9577794639661978
240,15,73,"[['SPACY:POS-ADV'], ['LEMMA:the']]",really the,1,0.301796064853113,Negative,0.301796064853113,0.301796064853113,Negative,0.301796064853113,1,0.301796064853113,Negative,0.301796064853113,0.301796064853113,Negative,0.301796064853113
241,15,79,[['HYPERNYM:love.v.03']],loved,3,0.26384423062524875,Positive,0.26384423062524875,0.26384423062524875,Positive,0.26384423062524875,1,0.26384423062524875,Positive,1.0312780501734862,0.26384423062524875,Positive,1.0312780501734862
242,15,91,"[['SPACY:POS-ADV'], ['SPACY:POS-ADV']]",as well,1,0.5048165142121577,Negative,0.5048165142121577,0.5048165142121577,Negative,0.5048165142121577,1,0.5048165142121577,Negative,0.5048165142121577,0.5048165142121577,Negative,0.5048165142121577
243,15,94,"[['HYPERNYM:not.r.01'], ['LEMMA:at']]",not at,3,0.5032385941726115,Negative,0.5032385941726115,0.5032385941726115,Negative,0.5032385941726115,1,0.5032385941726115,Negative,0.6919322083970937,0.5032385941726115,Negative,0.6919322083970937
244,15,95,"[['SENTIMENT:neg'], ['LEMMA:the']]",difficulty The,2,0.3097426052391332,Positive,0.3097426052391332,0.3097426052391332,Positive,0.3097426052391332,1,0.3097426052391332,Positive,-0.026257274611206416,-0.3097426052391332,Negative,0.026257274611206416
245,15,98,[['HYPERNYM:spouse.n.01']],husband,1,1.0771187399313198,Positive,1.0771187399313198,1.0771187399313198,Positive,1.0771187399313198,1,1.0771187399313198,Positive,1.0771187399313198,1.0771187399313198,Positive,1.0771187399313198
1890,124,2,[['LEMMA:not']],n't,1,0.3157930414372283,Negative,1.0248252059437497,0.3157930414372283,Negative,1.0248252059437497,2,0.3157930414372283,Negative,0.3157930414372283,0.3157930414372283,Negative,0.3157930414372283
1891,124,4,[['SENTIMENT:neg']],disappointed,1,0.33599987985033963,Negative,2.550069028823904,0.33599987985033963,Negative,2.550069028823904,4,0.33599987985033963,Negative,0.33599987985033963,0.33599987985033963,Negative,0.33599987985033963
1892,124,8,"[['LEMMA:be'], ['SENTIMENT:neg']]",was disappointed,2,0.221947848969945,Negative,0.43914527117868973,0.221947848969945,Negative,0.43914527117868973,2,0.221947848969945,Negative,0.3339478089200582,0.221947848969945,Negative,0.3339478089200582
1893,124,10,"[['LEMMA:not'], ['SENTIMENT:pos']]",n't like,3,1.205935547671834,Negative,1.205935547671834,1.205935547671834,Negative,1.205935547671834,1,1.205935547671834,Negative,0.8181812816972888,1.205935547671834,Negative,0.8181812816972888
1894,124,11,[['SENTIMENT:pos']],like,1,0.8344407843558151,Positive,1.2382059184936087,0.8344407843558151,Positive,1.2382059184936087,3,0.8344407843558151,Positive,0.8344407843558151,0.8344407843558151,Positive,0.8344407843558151
1895,124,12,"[['SPACY:POS-ADV'], ['SENTIMENT:neg']]",VERY disappointed,2,0.13170745798638936,Negative,0.28148943696609763,0.13170745798638936,Negative,0.28148943696609763,3,0.13170745798638936,Negative,0.24370741793650258,0.13170745798638936,Negative,0.24370741793650258
1896,124,16,"[['LEMMA:be'], ['SPACY:POS-ADV'], ['SENTIMENT:neg']]",was VERY disappointed,3,7.949116047435395e-06,Positive,-0.2995639579594165,-7.949116047435395e-06,Negative,0.2995639579594165,2,7.949116047435395e-06,Positive,-0.436130862507702,-7.949116047435395e-06,Negative,0.436130862507702
1897,124,23,"[['LEMMA:be'], ['SENTIMENT:pos']]",were like,2,0.10900968974043718,Positive,0.10900968974043718,0.10900968974043718,Positive,0.10900968974043718,1,0.10900968974043718,Positive,0.5262300819183447,0.10900968974043718,Positive,0.5262300819183447
1898,124,25,[['LEMMA:disappointed']],disappointed,2,1.493434440828777,Negative,1.493434440828777,1.493434440828777,Negative,1.493434440828777,1,1.493434440828777,Negative,1.60543440077889,1.493434440828777,Negative,1.60543440077889
1899,124,28,"[['HYPERNYM:be.v.05'], ['SENTIMENT:neg']]",was disappointed,3,0.21719742220874472,Negative,0.21719742220874472,0.21719742220874472,Negative,0.21719742220874472,1,0.21719742220874472,Negative,0.551145231128803,0.21719742220874472,Negative,0.551145231128803
1900,124,42,"[['LEMMA:be'], ['LEMMA:not']]",was n't,2,0.10687127744651449,Positive,0.10687127744651449,0.10687127744651449,Positive,0.10687127744651449,1,0.10687127744651449,Positive,-0.19082446338647518,-0.10687127744651449,Negative,0.19082446338647518
1901,124,46,"[['HYPERNYM:be.v.05'], ['SPACY:POS-ADV'], ['SENTIMENT:neg']]",was VERY disappointed,4,0.29957190707546394,Negative,0.29957190707546394,0.29957190707546394,Negative,0.29957190707546394,1,0.29957190707546394,Negative,0.7357027695831659,0.29957190707546394,Negative,0.7357027695831659
1902,124,50,"[['LEMMA:not'], ['LEMMA:the']]",n't the,2,0.3190000587877233,Negative,0.3190000587877233,0.3190000587877233,Negative,0.3190000587877233,1,0.3190000587877233,Negative,0.7260604707865791,0.3190000587877233,Negative,0.7260604707865791
1903,124,54,"[['SPACY:POS-ADV'], ['SENTIMENT:pos']]",n't like,2,0.5688168340626688,Positive,0.29475544439735646,0.5688168340626688,Positive,0.29475544439735646,2,0.5688168340626688,Positive,0.9860372262405763,0.5688168340626688,Positive,0.9860372262405763
1904,124,73,"[['SPACY:POS-ADV'], ['LEMMA:the']]",n't the,1,0.301796064853113,Negative,0.46129609424697465,0.301796064853113,Negative,0.46129609424697465,2,0.301796064853113,Negative,0.301796064853113,0.301796064853113,Negative,0.301796064853113
1905,124,75,"[['LEMMA:be'], ['SPACY:POS-ADV']]",was VERY,1,0.5772941810617407,Negative,0.344734137147587,0.5772941810617407,Negative,0.344734137147587,3,0.5772941810617407,Negative,0.5772941810617407,0.5772941810617407,Negative,0.5772941810617407
1906,124,88,[['HYPERNYM:move.v.02']],ordered,1,0.014178450678907228,Negative,0.014178450678907228,0.014178450678907228,Negative,0.014178450678907228,1,0.014178450678907228,Negative,0.014178450678907228,0.014178450678907228,Negative,0.014178450678907228
1907,124,92,"[['LEMMA:be'], ['SPACY:POS-ADV'], ['SENTIMENT:pos']]",were n't like,3,0.6578127683412094,Positive,0.6578127683412094,0.6578127683412094,Positive,0.6578127683412094,1,0.6578127683412094,Positive,0.9583999877742507,0.6578127683412094,Positive,0.9583999877742507
2203,142,2,[['LEMMA:not']],n't,1,0.3157930414372283,Negative,0.05532101327630934,0.3157930414372283,Negative,0.05532101327630934,2,0.3157930414372283,Negative,0.3157930414372283,0.3157930414372283,Negative,0.3157930414372283
2204,142,4,[['SENTIMENT:neg']],cheap,1,0.33599987985033963,Negative,2.9870990109100806,0.33599987985033963,Negative,2.9870990109100806,3,0.33599987985033963,Negative,0.33599987985033963,0.33599987985033963,Negative,0.33599987985033963
2205,142,8,"[['LEMMA:be'], ['SENTIMENT:neg']]",is cheap,2,0.221947848969945,Negative,0.6192287179121976,0.221947848969945,Negative,0.6192287179121976,2,0.221947848969945,Negative,0.2779478289450016,0.221947848969945,Negative,0.2779478289450016
2206,142,11,[['SENTIMENT:pos']],adorable,1,0.8344407843558151,Positive,1.0057381657475568,0.8344407843558151,Positive,1.0057381657475568,2,0.8344407843558151,Positive,0.8344407843558151,0.8344407843558151,Positive,0.8344407843558151
